City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,tucuman,-26.8241,-65.2226,27.0,47,40,2.06,AR,1670295967
314,juba,4.8517,31.5825,24.2,60,82,1.3,SS,1670295967
315,canavieiras,-15.675,-38.9472,21.98,90,98,1.35,BR,1670295968
316,englewood,39.6478,-104.9878,5.72,65,40,6.17,US,1670295968
317,port augusta,-32.5,137.7667,29.25,25,100,2.44,AU,1670295760
318,antofagasta,-23.65,-70.4,17.6,79,33,1.21,CL,1670295969
319,yelizovo,53.1873,158.3805,-5.92,73,75,4.02,RU,1670295970
320,nyuksenitsa,60.4128,44.2397,-11.15,94,100,2.73,RU,1670295970
321,pangoa,-12.1167,-73.0,20.17,90,75,1.52,PE,1670295867
322,havre-saint-pierre,50.2334,-63.5986,1.79,76,29,9.48,CA,1670295971
323,brae,60.3964,-1.353,5.29,64,98,10.87,GB,1670295971
324,balakhninskiy,58.0106,114.2769,-12.05,92,100,7.89,RU,1670295972
325,cadillac,44.2519,-85.4012,-0.05,100,100,0.0,US,1670295740
326,sao filipe,14.8961,-24.4956,22.47,67,26,1.59,CV,1670295973
327,sao joao evangelista,-18.5478,-42.7633,16.92,98,98,1.12,BR,1670295973
328,shadegan,30.6497,48.6647,17.3,56,61,2.02,IR,1670295974
329,comodoro rivadavia,-45.8667,-67.5,16.15,40,0,15.65,AR,1670295846
330,ginda,30.6945,78.4932,11.4,18,88,1.69,IN,1670295974
331,okhotsk,59.3833,143.3,-25.88,78,99,4.14,RU,1670295975
332,nome,64.5011,-165.4064,-0.96,86,100,13.38,US,1670295975
333,poum,-20.2333,164.0167,27.42,80,100,6.08,NC,1670295976
334,hokitika,-42.7167,170.9667,16.68,65,33,4.29,NZ,1670295977
335,arlit,18.7369,7.3853,23.37,18,100,1.49,NE,1670295978
336,cabo san lucas,22.8909,-109.9124,25.84,70,0,5.66,MX,1670295851
337,riverton,40.5219,-111.9391,1.75,87,0,3.58,US,1670295978
338,nanortalik,60.1432,-45.2371,2.11,79,100,7.21,GL,1670295979
339,urbino,43.7298,12.6356,10.66,93,100,1.13,IT,1670295979
340,gallup,35.5281,-108.7426,7.42,77,20,2.57,US,1670295980
